Names,Frequency,Years,Gender,Rank
BRANDON,3108,1992,M,539.0
JACOB,3108,2007,M,539.0
KEVIN,3107,1989,M,542.0
JACOB,3106,1995,M,543.0
JOHN,3105,1982,M,544.0
STEPHANIE,3101,1987,F,545.0
JOSEPH,3099,1983,M,546.0
NICHOLAS,3099,1988,M,546.0
JACOB,3097,2005,M,548.0
MARK,3096,1968,M,549.0
NICHOLAS,3096,1993,M,549.0
ANTHONY,3094,1985,M,551.0
JOSEPH,3092,1995,M,552.0
JOSEPH,3091,1993,M,553.0
EMILY,3088,2006,F,554.0
SUSAN,3088,1962,F,554.0
JAMES,3087,1983,M,556.0
MICHAEL,3087,2003,M,556.0
ISABELLA,3085,2012,F,558.0
JOSE,3084,1981,M,559.0
DANIEL,3081,1960,M,560.0
ELIZABETH,3081,1991,F,560.0
KEVIN,3079,1995,M,562.0
ANTHONY,3077,2009,M,563.0
JOHN,3075,1984,M,564.0
JAMES,3071,1990,M,565.0
JOSHUA,3071,1997,M,565.0
MATTHEW,3071,2002,M,565.0
JONATHAN,3070,1998,M,568.0
JAMES,3069,1986,M,569.0
MATTHEW,3069,2001,M,569.0
JOSE,3068,1985,M,571.0
JOSEPH,3061,1982,M,572.0
JOSEPH,3060,1981,M,573.0
JAMES,3054,1989,M,574.0
JOSEPH,3054,1985,M,574.0
MICHELLE*,3053,1966,F,576.0
NICHOLAS,3053,1992,M,576.0
STEVEN,3053,1967,M,576.0
DANIEL,3049,1962,M,579.0
ISABELLA,3049,2011,F,579.0
JOHN,3039,1983,M,581.0
JAMES,3037,1981,M,582.0
ANGEL,3034,2009,M,583.0
JAMES,3028,1980,M,584.0
JOSEPH,3027,1984,M,585.0
JOSEPH,3026,1994,M,586.0
SARAH,3020,1988,F,587.0
JOSE,3017,1986,M,588.0
JOSEPH,3017,1986,M,588.0
JACOB,3016,2008,M,590.0
JOSE,3016,1982,M,590.0
ANDREW,3015,2007,M,592.0
BRANDON,3013,1993,M,593.0
EMILY,3011,2002,F,594.0
ELIZABETH,3009,1989,F,595.0
JOSEPH,3009,1996,M,595.0
JOSHUA,3009,2006,M,595.0
JOHN,3008,1985,M,598.0
MATTHEW,3007,1978,M,599.0
ASHLEY,3006,1984,F,600.0
CHRISTOPHER,3006,2001,M,600.0
SARAH,3006,1986,F,600.0
JOHN,3004,1980,M,603.0
JONATHAN,3004,1999,M,603.0
CHRISTIN*,2999,1968,F,605.0
JOHN,2997,1987,M,606.0
THOMAS,2991,1961,M,607.0
KIMBERLY*,2990,1966,F,608.0
JUSTIN,2988,1990,M,609.0
JOHN,2985,1979,M,610.0
KAREN,2985,1961,F,610.0
CYNTHIA,2982,1960,F,612.0
JAMES,2982,1979,M,612.0
MATTHEW,2982,1979,M,612.0
DANIEL,2980,1965,M,615.0
JUSTIN,2980,1989,M,615.0
JONATHAN,2979,2000,M,617.0
MELISSA,2979,1979,F,617.0
CHRISTOPHER,2978,2007,M,619.0
ERIC,2978,1990,M,619.0
THOMAS,2978,1960,M,619.0
CHRISTIAN,2977,1996,M,622.0
JAMES,2977,1973,M,622.0
JACOB,2976,1996,M,624.0
JOHN,2976,1974,M,624.0
MARY,2973,1961,F,626.0
MELISSA,2973,1980,F,626.0
STEVEN,2972,1968,M,628.0
JENNIFER,2971,1993,F,629.0
RYAN,2971,1980,M,629.0
KIMBERLY*,2970,1967,F,631.0
SARAH,2968,1989,F,632.0
MATTHEW,2967,2003,M,633.0
JAMES,2966,1977,M,634.0
JASON,2966,1984,M,634.0
JAMES,2965,1987,M,636.0
NICHOLAS,2963,1995,M,637.0
STEPHANIE,2961,1994,F,638.0
JACOB,2959,2012,M,639.0
BRITTANY,2956,1989,F,640.0
JOHN,2956,1989,M,640.0
EMILY,2955,2000,F,642.0
EMILY,2954,2007,F,643.0
JACOB,2954,2009,M,643.0
BRIAN,2952,1974,M,645.0
JAMES,2952,1991,M,645.0
JUSTIN,2947,1987,M,647.0
DANIEL,2944,1975,M,648.0
SOPHIA,2944,2015,F,648.0
DANIEL,2942,1974,M,650.0
DANIEL,2940,1964,M,651.0
JEFFREY,2940,1960,M,651.0
JOHN,2940,1988,M,651.0
JOSEPH,2938,1998,M,654.0
WILLIAM,2938,1966,M,654.0
KAREN,2935,1962,F,656.0
BRIAN,2933,1977,M,657.0
JAMES,2932,1974,M,658.0
JONATHAN,2930,1986,M,659.0
ASHLEY,2927,2004,F,660.0
MARY,2924,1962,F,661.0
EMILY,2921,2001,F,662.0
JOHN,2920,1978,M,663.0
JONATHAN,2920,1985,M,663.0
SUSAN,2920,1963,F,663.0
ISABELLA,2918,2007,F,666.0
JENNIFER,2914,1994,F,667.0
ANGEL,2912,2002,M,668.0
JEFFREY,2912,1964,M,668.0
SARAH,2911,1987,F,670.0
KIMBERLY*,2910,1969,F,671.0
JACOB,2909,1994,M,672.0
DAVID,2908,2008,M,673.0
THOMAS,2902,1962,M,674.0
JOSE,2901,1980,M,675.0
WILLIAM,2901,1967,M,675.0
BRIAN,2897,1972,M,677.0
JAMES,2893,1976,M,678.0
STEVEN,2893,1969,M,678.0
MARY,2892,1964,F,680.0
MARK,2889,1969,M,681.0
CHRISTOP*,2888,1967,M,682.0
CHRISTOPHER,2886,2002,M,683.0
DANIEL,2885,2011,M,684.0
JESSICA,2885,1980,F,684.0
JOSHUA,2884,1979,M,686.0
ASHLEY,2880,1995,F,687.0
JACOB,2879,2013,M,688.0
JOHN,2878,1990,M,689.0
NICOLE,2878,1985,F,689.0
KEVIN,2876,1988,M,691.0
ALEXANDER,2875,2009,M,692.0
JAMES,2871,1975,M,693.0
RYAN,2871,1979,M,693.0
JOSHUA,2870,2007,M,695.0
CHRISTOPHER,2869,2006,M,696.0
WILLIAM,2867,1968,M,697.0
CHRISTOP*,2866,1966,M,698.0
ALEXANDER,2865,2008,M,699.0
JOSEPH,2863,1980,M,700.0
LISA,2863,1971,F,700.0
JOHN,2860,1986,M,702.0
RYAN,2860,1994,M,702.0
MIA,2856,2015,F,704.0
JENNIFER*,2855,1968,F,705.0
MATTHEW,2855,2004,M,705.0
JONATHAN,2853,2001,M,707.0
JOSE,2853,2007,M,707.0
JOSEPH,2851,1997,M,709.0
STEPHANIE,2851,1995,F,709.0
ANTHONY,2850,2010,M,711.0
CYNTHIA,2850,1962,F,711.0
JAYDEN,2850,2012,M,711.0
MATTHEW,2850,1977,M,711.0
MATTHEW,2850,2005,M,711.0
THOMAS,2850,1963,M,711.0
SARAH,2848,1981,F,717.0
MICHAEL,2847,2004,M,718.0
ANTHONY,2839,1984,M,719.0
LISA,2839,1960,F,719.0
JUAN,2838,1992,M,721.0
JOHN,2834,1975,M,722.0
CYNTHIA,2832,1961,F,723.0
JESSICA,2832,1998,F,723.0
NICHOLAS,2831,1994,M,725.0
WILLIAM,2831,1970,M,725.0
ANDREW,2829,2008,M,727.0
NICHOLAS,2829,1996,M,727.0
STEVEN,2829,1970,M,727.0
ROBERT,2824,1992,M,730.0
JOSE,2822,1984,M,731.0
KIMBERLY*,2822,1965,F,731.0
ELIZABETH,2819,1992,F,733.0
BRANDON,2818,1996,M,734.0
BRANDON,2818,1997,M,734.0
MELISSA,2817,1981,F,736.0
ASHLEY,2815,2000,F,737.0
KEVIN,2815,1996,M,737.0
ALEXANDER,2811,1992,M,739.0
CHRISTIN*,2811,1971,F,739.0
CHRISTIAN,2809,1992,M,741.0
LINDA,2807,1960,F,742.0
EMILY,2805,1999,F,743.0
SARAH,2803,1990,F,744.0
JOHN,2800,1976,M,745.0
JOHN,2800,1977,M,745.0
BRIAN,2798,1973,M,747.0
JOSEPH,2798,1999,M,747.0
BRIAN,2796,1969,M,749.0
ALEXANDER,2793,1993,M,750.0
MIA,2792,2016,F,751.0
SARAH,2791,1982,F,752.0
MARY,2788,1963,F,753.0
ERIC,2787,1970,M,754.0
ISABELLA,2786,2006,F,755.0
CHRISTOPHER,2785,2003,M,756.0
SAMANTHA,2781,1999,F,757.0
ISABELLA,2780,2008,F,758.0
JENNIFER,2780,1997,F,758.0
